STARID,LABEL,1th Peak,1th Peak F.A.P,2th Peak,2th Peak F.A.P,3th Peak,3th Peak F.A.P,4th Peak,4th Peak F.A.P,5th Peak,5th Peak F.A.P
NP-GJ3969,1,0.4064892796235026,0.07483291647171918,0.3827179752451661,0.12954775765096002,0.3662730206468781,0.18456814663225266,0.3643573954512809,0.19204807552649075,0.3537671848586749,0.2377559972695432
NP-GJ399,1,0.28395403723201024,0.9999869051359052,0.2839106331267342,0.9999869129160976,0.283867923353464,0.9999869205653048,0.28374752446174145,0.9999869420936308,0.2836581000099965,0.9999869580502776
NP-GJ4001,1,0.9903590303142492,1.0015795214190427e-15,0.9621596376366534,1.1023551333440274e-10,0.9547699991313192,5.002816593826273e-10,0.9309073621581196,1.8110710904222844e-08,0.9145973253327194,1.0877755997935195e-07
NP-GJ4079,1,0.3313436350686588,0.829751470218679,0.32274480982782683,0.8575102753254172,0.31588639570571525,0.8776185488854343,0.307662283218301,0.8992891324102098,0.30176444450543577,0.9131853631022736
NP-GJ4088,1,0.8949121171375664,0.001365156417486203,0.8918935245873304,0.0015700757393108027,0.8870532520962199,0.001948947369996396,0.8799327096538797,0.002634536034432405,0.8785382360948449,0.002788752235558284
NP-GJ4100,1,0.5523539562094427,9.891217242730131e-21,0.5158605789660741,1.753051395848003e-18,0.5074917743085592,5.435112450407737e-18,0.4371936997461949,3.5994329259242996e-14,0.4349862186248482,4.6579189121543217e-14
NP-GJ4254,1,0.1878837173106018,0.9999999713037993,0.17684569587406884,0.999999981634067,0.15637503952071702,0.9999999911820898,0.13926561414334718,0.999999994605093,0.1392194975548853,0.9999999946112552
NP-GJ429.2,1,0.023234659860795384,1.0,0.020588927595233186,1.0,0.02008488013982826,1.0,0.018688995308155244,1.0,0.01651706202843316,1.0
NP-GJ4303,1,0.9687773817891988,3.5126446192215895e-52,0.967982542848033,8.67937493000526e-52,0.963641672431328,8.42046727076565e-50,0.9601253248383128,2.3329588343900405e-48,0.9304159260347712,1.1651779813417598e-39
NP-GJ431,1,0.6988832067780065,1.8075674208593524e-05,0.6925762542833211,2.380541581137989e-05,0.671892467032765,5.6481795578265685e-05,0.6672755548693509,6.797466790286294e-05,0.6659158057031555,7.174948479669347e-05
NP-GJ4332,1,0.6794071347605416,1.9615121784338493e-09,0.6780661395671868,2.1525489781550654e-09,0.6645043132766245,5.3926513161697915e-09,0.6521579556578768,1.2047528598503175e-08,0.6496239540266064,1.4157473774117392e-08
NP-GJ4364,1,0.7184265019351923,0.2893098514438538,0.7030697338472449,0.3344549487969765,0.7022743775916036,0.3368549974434972,0.7020110244886906,0.337650905524802,0.6990914022053725,0.3465142308118133
NP-GJ43,1,0.6916205191627465,0.00012283962792432286,0.6817658382252108,0.0001779015629162806,0.6237561259889193,0.0012691333672590133,0.6224621039730842,0.0013211223174536455,0.6208377238808289,0.001389125671377697
NP-GJ443,1,0.053114832438719374,0.9999999996688528,0.0479176082018782,0.9999999996803556,0.04367129713442625,0.9999999996617348,0.039541148910826315,0.9999999996100124,0.03841776750119538,0.9999999995877648
NP-GJ476,1,0.6213342051377234,1.5511030764072494e-05,0.5495386975632598,0.0002792094345421304,0.4897203601582769,0.002193935388041505,0.44813482922639375,0.007929698937266725,0.4035257443683504,0.027934086580458237
NP-GJ477,1,0.3974324093735857,0.0252001139197696,0.3896987694080675,0.03169107054245628,0.3857663402898721,0.03555306493460958,0.3847604257244178,0.03660817820874515,0.3835190624617463,0.037949882340956836
NP-GJ508.3,1,0.52090229954625,0.0012109325437487484,0.5206347905993107,0.0012218186819419553,0.4955453251406074,0.002764283446017848,0.4935948222949466,0.002939998767406009,0.4872970537015039,0.00358099357111111
NP-GJ510,1,0.34720710286842155,0.0029489336237260213,0.3347768568274043,0.004814567957400708,0.29679816207040416,0.020146489490333982,0.2814202591553321,0.0349202882742112,0.274155057427628,0.044990537808818114
NP-GJ553.1,1,0.28192806452468183,0.7857408918784288,0.2757580925323085,0.8152305405308508,0.2625081904694424,0.8711089987899712,0.2538621708454426,0.9015144024570164,0.2369141533661824,0.9467885757652996
NP-GJ56.1,1,0.3602888584662993,0.0028014723227310395,0.3390318931692466,0.006347068205609141,0.3292450535656841,0.009153623369490195,0.3275967313081273,0.00972961900248293,0.32714451878765355,0.009893561653549895
NP-GJ606,1,0.3360163363442781,0.6904961553855531,0.33571564896023304,0.6919795374262526,0.3128990256610784,0.7970177991626429,0.2973644724588169,0.8570090028041653,0.2937207086295644,0.8694349140204333
NP-GJ618.1,1,0.5067496772323853,2.1247813044793007e-08,0.5033453454275094,2.675571756940041e-08,0.4599597593420154,4.4108912817561037e-07,0.4177202627145658,5.440624995426287e-06,0.4130524508353794,7.097628989548674e-06
NP-GJ629.3,1,0.6109235868469912,3.947404206234402e-11,0.5986699862723629,1.0705064375797974e-10,0.5889347161596916,2.3138416860368937e-10,0.5721942238219409,8.346389294553559e-10,0.5690960460408043,1.0523775262580502e-09
NP-GJ634,1,0.4810662509673988,1.6736880795876695e-09,0.4785332781640589,2.0135093674334255e-09,0.4783752670813001,2.0367995460349214e-09,0.4779722318976064,2.097398422086728e-09,0.4776775625076209,2.1428101663016235e-09
NP-GJ637,1,0.5336671525402904,0.2995751564286678,0.5066706347884323,0.4023338490532596,0.5044067528644497,0.4115844654440974,0.5020778591247106,0.4211855113623544,0.4931310024866397,0.4587823852063088
NP-GJ654,1,0.004338905626329145,1.0,0.004289668550496917,1.0,0.004224212735818424,1.0,0.0042123426635390215,1.0,0.004181339581139647,1.0
NP-GJ660.1,1,0.3091339487338326,0.0866345282746516,0.2943902585956551,0.13128156754262701,0.2888953923478005,0.15241683196393396,0.24360826738427585,0.4461356961764249,0.24097948142066564,0.469673500192715
NP-GJ672.1,1,0.4630229211982468,0.4849291740949673,0.458870840156406,0.5059864725321684,0.4411717578527973,0.5971585668617565,0.4338798410918643,0.6346129177233619,0.3931227600805285,0.822958123230462
NP-GJ70,1,0.9972961255722776,1.0721713329531367e-11,0.99540161646516,1.5241846922191425e-10,0.9952861406229851,1.725339397419916e-10,0.9928482527156912,1.3855222198315988e-09,0.9924737210348942,1.7880729815024295e-09
NP-GJ723,1,0.3043178351030544,0.008727510718644142,0.2565554720352559,0.05202497353332946,0.2467637758868499,0.07326375226567343,0.2464573145041868,0.0740415364649286,0.2449165134401044,0.07806729152543067
NP-GJ724,1,0.3596841036531043,0.5747455152791051,0.3408843124278059,0.6869445623341432,0.32563545531092136,0.7716594114009635,0.31032306058609305,0.8454044935759045,0.31005895452068544,0.8465515915496237
NP-GJ734B,1,0.5652951513440461,0.5397836803135775,0.559297425934022,0.557692016082914,0.5489763220864391,0.5882008901454813,0.5455170628406927,0.5983139232808253,0.5443036075170576,0.6018458299764256
NP-GJ739,1,0.7240976042072026,0.0005184423395947581,0.7136086957937948,0.0007201690939894543,0.6909399677674053,0.001406874801920576,0.6510777635428466,0.0040678221121339606,0.5808912580080219,0.019873848078950068
NP-GJ740,1,0.3275720692838805,0.004527252001127511,0.3134878645902281,0.007982509967595586,0.3090213874777261,0.00952714775961437,0.2877050290945313,0.021720870225264952,0.26976660711752465,0.04228717669625491
NP-GJ7,1,0.7617184995930592,0.09222787090009447,0.753546003700147,0.10432740556334176,0.7519900995181935,0.10674247070049904,0.7515915839332242,0.1073668293697273,0.7510290274689425,0.1082522157370999
NP-GJ800A,1,0.7650788198548144,4.035843444782745e-17,0.7187089359174247,9.517683051457041e-15,0.7174141858612545,1.0938826813728736e-14,0.7112436499337074,2.104878488104621e-14,0.707800900883404,3.014186980836094e-14
NP-GJ808,1,0.4755983685657644,0.9543697301458196,0.4672422692993562,0.9626103144136182,0.4646135600125914,0.9649422755036906,0.4440181234390728,0.9794434517677126,0.4336139545548793,0.9846128548398374
NP-GJ816,1,0.2130662726598636,0.9963329764935904,0.2106728689094148,0.9967880309559586,0.2092960266764296,0.9970267904250288,0.20502401605752146,0.997671529686484,0.2009024684738013,0.9981732565278464
NP-GJ821,1,0.29648025163258057,0.9953656281310248,0.284035834341157,0.9972575073073572,0.283960419531168,0.997266485163735,0.2771206560315063,0.9979797539424062,0.27665896058436906,0.9980212714030332
NP-GJ842,1,0.6739387204444989,0.8733702040530474,0.6722461528820028,0.877087253106392,0.6573912498835734,0.9063923568102497,0.6434528203293306,0.9287869212861464,0.6417529168281215,0.9312044406502944
NP-GJ855,1,0.5689533295591115,0.004836193167614959,0.50351819828302,0.02824187674818112,0.455331754451736,0.08685014506397112,0.4527115126811002,0.09192393331509066,0.4524428343305488,0.09245824814654194
NP-GJ85,1,0.828772301922598,9.21332866938142e-05,0.8207166610348247,0.00012945840319357742,0.8192136391082112,0.0001377024519406765,0.8166940398478161,0.00015253940822774437,0.8076709104316624,0.00021755913493573268
NP-GJ891,1,0.5079411514230014,0.03872072252145334,0.5053444861350433,0.04108999550087484,0.4825137276453748,0.06804384349439617,0.4232918211389268,0.2152269240578931,0.4125780414708917,0.2580294444318512
NP-GJ9067B,1,0.6080036993057316,0.11913829552365708,0.5072555156056241,0.4017855678996167,0.4914773349183241,0.4626075620615608,0.474127927999145,0.5318607336402755,0.4683787780996684,0.5550365593352902
NP-GJ91,1,0.3977663389292059,4.528917213022151e-07,0.3857615732717586,1.0421740876888109e-06,0.33670853418450764,2.6499075131651864e-05,0.3294400673324149,4.1881328726835975e-05,0.3283942013684985,4.471302623296721e-05
NP-GJ9201,1,0.44754902755936177,0.553956493488343,0.442570375866402,0.5812111950319335,0.41085994849177104,0.7484846244360666,0.40659161474973854,0.7689904761516279,0.3981753577969923,0.8072082564031411
NP-GJ93,1,0.017051183839128858,1.0,0.01654446676134374,1.0,0.015758190006252618,1.0,0.015329906696050772,1.0,0.015325095895101478,1.0
NP-Gl105B,1,0.5179844315794528,0.1533786833468413,0.5128251845325421,0.1666833147768115,0.5127608138354249,0.16685465438510716,0.5109788997501952,0.17165057283170393,0.5071448170897699,0.18231895658953348
NP-Gl191,1,0.990909476395494,9.808697736468987e-230,0.9902238262144956,3.90465781532218e-226,0.9861063144898664,9.831382698255359e-209,0.9612084282980272,6.636488729586577e-158,0.8885727730291739,1.1113192117101077e-105
NP-Gl203,1,0.3695036975483692,0.9994593105048528,0.3442070847600225,0.9997627343347208,0.3237329339405483,0.9998799519806456,0.29162674096752866,0.9999591921505646,0.2909127691150523,0.9999601585421172
NP-Gl250B,1,0.6660036186193968,0.4141476658295588,0.6440505819383785,0.5036582317194626,0.6071478153455201,0.6538536358881988,0.6055548198835811,0.6600662204440453,0.5970011679065731,0.6927637026157394
NP-Gl341,1,0.2782718903573445,0.5523496864789659,0.2633122740592204,0.6661346220765599,0.2496329033491552,0.7647906448011118,0.2483670927420263,0.7733489880925314,0.24623430261435897,0.7874855555637221
NP-Gl357,1,0.22141927397154967,0.3376685530321297,0.21345605284546476,0.4049467829691241,0.2120452836021194,0.4176122734867855,0.2016407059935171,0.5167072380672736,0.19519374547672064,0.5816028855402259
NP-Gl358,1,0.5842129845414812,9.337331106140892e-05,0.5658714245280357,0.00019143416592409,0.5464090795030585,0.00039645890567783885,0.5260855510457382,0.0008194556916717048,0.5260813676800717,0.000819575380704906
